LOG1;DATA_HORA
AV.GUIDO MONDIN;20091104 12:20
AV.DA AZENHA;20091104 12:25
AV.DR.NILO PECANHA;20091104 12:25
AV.GUAIBA;20091104 12:40
R.DONA MARGARIDA;20091104 13:06
R.JOAO ALFREDO;20091104 13:30
AV.DESEMBARGADOR.ANDRE DA ROCHA;20091104 13:45
AV.ASSIS BRASIL;20091104 13:50
AV.EDUARDO PRADO;20091104 14:00
AV.ALBERTO BINS;20091104 14:30
R.DR.PEREIRA NETO;20091104 14:35
AV.AURELIANO DE FIGUEIREDO PINTO;20091104 14:35
AV.ASSIS BRASIL;20091104 14:38
AV.PROTASIO ALVES;20091104 14:40
AV.OTTO NIEMEYER;20091104 15:20
AV.FARRAPOS;20091104 15:20
AV.FLORIANOPOLIS;20091104 15:30
AV.DR.JOAO SIMPLICIO A DE CARVALHO;20091104 15:55
AV.PROTASIO ALVES;20091104 16:00
AV.OTTO NIEMEYER;20091104 16:15
R.DONA MARGARIDA;20091104 16:15
AV.CRISTOVAO COLOMBO;20091104 16:25
R.DEA COUFAL;20091104 16:50
AV.VICENTE MONTEGGIA;20091104 16:50
AV.OSVALDO ARANHA;20091104 17:00
R.BOM JESUS;20091104 17:00
AV.FARRAPOS;20091104 17:00
AV.DR.NILO PECANHA;20091104 17:20
R.DONA MARGARIDA;20091104 17:30
R.JOAO MOREIRA MACIEL;20091104 17:40
R.FERNANDO ABBOTT;20091104 18:00
AV.DO FORTE;20091104 18:15
R.DONA AUGUSTA;20091104 18:30
R.DOMINGOS MARTINS;20091104 18:34
AV.SERTORIO;20091104 18:35
R.ALCIDES DE OLIVEIRA GOMES;20091104 18:40
AV.CEL LUCAS DE OLIVEIRA;20091104 18:45
AV.IPIRANGA;20091104 18:46
AV.BENTO GONCALVES;20091104 18:50
AV.IPIRANGA;20091104 19:15
R.SANTA IZABEL;20091104 19:15
R.HAVANA;20091104 20:10
AV.IPIRANGA;20091104 20:28
AV.DA AZENHA;20091104 20:50
AV.PROTASIO ALVES;20091104 21:05
R.CRUZEIRO DO SUL;20091104 22:20
AV.INDEPENDENCIA;20091104 22:20
AV.FRANCISCO TREIN;20091104 22:30
AV.DIARIO DE NOTICIAS;20091104 23:00
R.FERREIRA VIANA;20091105 02:10
AV.BENTO GONCALVES;20091105 05:25
R.VOLUNTARIOS DA PATRIA;20091105 06:50
AV.IPIRANGA;20091105 07:10
R.DR.SALVADOR.FRANCA;20091105 07:19
AV.ICARAI;20091105 07:55
R.SANTANA;20091105 07:55
AV.PLINIO KROEFF;20091105 07:55
AV.CEL APARICIO BORGES;20091105 08:10
AV.CARLOS GOMES;20091105 08:10
R.CAIRU;20091105 08:15
AV.PROTASIO ALVES;20091105 08:30
R.MUCIO TEIXEIRA;20091105 08:50
AV.WILLY EUGENIO FLECK;20091105 09:00
AV.PROF OSCAR.PEREIRA;20091105 09:35
R.VINTE QUATRO DE OUTUBRO;20091105 09:40
AV.DOS ESTADOS;20091105 09:55
R.SIQUEIRA CAMPOS;20091105 10:00
AV.BERNARDINO SILVEIRA DE AMORIM;20091105 10:05
AV.VENANCIO AIRES;20091105 10:15
AV.FARRAPOS;20091105 10:38
AV.CEL LUCAS DE OLIVEIRA;20091105 10:45
R.VOLUNTARIOS DA PATRIA;20091105 10:46
R.VOLUNTARIOS DA PATRIA;20091105 10:50
AV.IPIRANGA;20091105 11:00
R.GEN JOAO TELLES;20091105 11:19
AV.PARA;20091105 11:20
AV.PROTASIO ALVES;20091105 11:25
AV.PRAIA DE BELAS;20091105 11:40
AV.DR.CARLOS BARBOSA;20091105 11:45
R.ZEFERINO DIAS;20091105 11:45
R.JOSE DE ALENCAR;20091105 12:00
AV.AURELIANO DE FIGUEIREDO PINTO;20091105 12:00
AV.DR.NILO PECANHA;20091105 12:05
AV.ASSIS BRASIL;20091105 12:05
AV.MAUA;20091105 12:15
R.SINKE;20091105 12:20
R.GONCALVES DIAS;20091105 12:30
AV.IPIRANGA;20091105 12:30
AV.DA AZENHA;20091105 12:35
R.DONA LAURA;20091105 12:35
R.DR.SALVADOR.FRANCA;20091105 13:20
R.MARCOS MOREIRA;20091105 13:20
AV.MARTIM FELIX BERTA;20091105 13:20
TRAV.ESCOBAR;20091105 13:25
R.SAO CARLOS;20091105 13:35
AV.WENCESLAU ESCOBAR;20091105 14:00
R.SANTANA;20091105 14:00
AV.BENTO GONCALVES;20091105 14:30
AV.LOUREIRO DA SILVA;20091105 14:45
R.FURRIEL LUIZ ANTONIO DE VARGAS;20091105 15:30
R.G JARDIM PASSO DAS PEDRAS II;20091105 15:50
AV.BENTO GONCALVES;20091105 16:00
AV.SERTORIO;20091105 16:02
AV.DA CAVALHADA;20091105 16:08
R.CRUZEIRO DO SUL;20091105 16:25
R.SILVA JARDIM;20091105 16:30
AV.SERTORIO;20091105 16:30
AV.PROTASIO ALVES;20091105 16:45
R.PEDRO CHAVES BARCELOS;20091105 17:00
AV.JERONIMO DE ORNELAS;20091105 17:05
AV.PROF OSCAR.PEREIRA;20091105 17:10
R.TOBIAS DA SILVA;20091105 17:20
AV.JOAO PESSOA;20091105 17:25
AV.MARTINS BASTOS;20091105 17:50
AV.RODRIGUES DA FONSECA;20091105 17:59
AV.DOS ESTADOS;20091105 18:20
R.SARMENTO LEITE;20091105 18:30
AV.PAULO GAMA;20091105 18:33
AV.DIARIO DE NOTICIAS;20091105 19:00
R.VICENTE DA FONTOURA;20091105 19:00
AV.IPIRANGA;20091105 19:10
AV.SERTORIO;20091105 19:30
AV.CRUZ ALTA;20091105 19:50
R.CARAZINHO;20091105 20:20
AV.GOMES DE CARVALHO;20091105 21:03
ESTR.COSTA GAMA;20091105 21:10
AV.JOAO PESSOA;20091105 21:15
ESTR.CRISTIANO KRAEMER;20091105 21:40
AV.BENTO GONCALVES;20091105 23:20
AV.IPIRANGA;20091106 01:30
R.QUINTINO BOCAIUVA;20091106 02:18
AV.FARRAPOS;20091106 05:47
ESTR.JOAO DE OLIVEIRA REMIAO;20091106 06:10
R.NOVA PRATA;20091106 07:35
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091106 07:40
AV.SERTORIO;20091106 07:50
R.ANITA GARIBALDI;20091106 08:10
AV.ASSIS BRASIL;20091106 08:20
AV.IPIRANGA;20091106 08:25
R.DA CONCEICAO;20091106 08:28
R.VOLUNTARIOS DA PATRIA;20091106 08:30
AV.ASSIS BRASIL;20091106 08:30
AV.TERESOPOLIS;20091106 08:45
AV.TEIXEIRA MENDES;20091106 09:00
R.VINTE QUATRO DE OUTUBRO;20091106 09:05
R.DEA COUFAL;20091106 09:20
AV.NONOAI;20091106 09:20
AV.FARRAPOS;20091106 09:30
R.VINTE QUATRO DE OUTUBRO;20091106 10:00
AV.FARRAPOS;20091106 10:18
AV.PLINIO BRASIL MILANO;20091106 10:45
AV.BENTO GONCALVES;20091106 11:00
AV.CRISTOVAO COLOMBO;20091106 11:00
AV.JOAO WALLIG;20091106 11:00
R.FELICISSIMO DE AZEVEDO;20091106 11:45
AV.BENTO GONCALVES;20091106 11:50
R.SANTA TEREZINHA;20091106 12:00
R.VINTE QUATRO DE OUTUBRO;20091106 12:00
R.TEN ALPOIM;20091106 12:00
R.SARMENTO LEITE;20091106 12:15
AV.EDGAR.PIRES DE CASTRO;20091106 12:30
R.VASCO DA GAMA;20091106 12:30
AV.AUGUSTO MEYER;20091106 12:30
AV.TERESOPOLIS;20091106 12:44
R.JOAO ALFREDO;20091106 13:00
PCA DOM FELICIANO;20091106 13:00
AV.PROTASIO ALVES;20091106 13:00
R.ANITA GARIBALDI;20091106 13:00
AV.IPIRANGA;20091106 13:10
AV.JERONIMO DE ORNELAS;20091106 13:30
AV.GAMAL ABDEL NASSER;20091106 13:30
AV.PROTASIO ALVES;20091106 13:40
R.CARLOS SILVEIRA MARTINS PACHECO;20091106 13:40
AV.EDVALDO PEREIRA PAIVA;20091106 14:00
R.CARLOS HUBER;20091106 14:15
R.GARIBALDI;20091106 14:30
R.DONA LAURA;20091106 14:30
AV.ASSIS BRASIL;20091106 14:40
AV.CARNEIRO DA FONTOURA;20091106 14:40
AV.WENCESLAU ESCOBAR;20091106 15:00
AV.OSVALDO ARANHA;20091106 15:00
AV.CRISTOVAO COLOMBO;20091106 15:00
R.TEN ARY TARRAGO;20091106 15:00
AV.FARRAPOS;20091106 15:00
AV.SERTORIO;20091106 15:10
AV.MANOEL ELIAS;20091106 15:20
R.CABRAL;20091106 15:30
R.DR.GUIMARAES ROSA;20091106 15:30
R.FERNANDO ABBOTT;20091106 15:30
AV.JACUI;20091106 15:40
AV.BORGES DE MEDEIROS;20091106 15:50
R.SANTANA;20091106 16:00
R.DONA MARGARIDA;20091106 17:00
R.VINTE CINCO DE JULHO;20091106 17:00
AV.FARRAPOS;20091106 17:11
AV.NONOAI;20091106 17:28
AV.SERTORIO;20091106 17:45
AV.PINHEIRO BORDA;20091106 18:00
AV.CEL APARICIO BORGES;20091106 18:00
AV.FARRAPOS;20091106 18:00
AV.PROTASIO ALVES;20091106 18:00
R.RIACHUELO;20091106 18:10
R.VOLUNTARIOS DA PATRIA;20091106 18:20
AV.DA AZENHA;20091106 18:30
R.COMENDADOR.RODOLFO GOMES;20091106 18:45
R.SARMENTO LEITE;20091106 18:45
AV.CRISTOVAO COLOMBO;20091106 18:45
AV.DR.NILO PECANHA;20091106 19:00
R.OLAVO BILAC;20091106 19:05
R.JOAQUIM SILVEIRA;20091106 19:20
AV.PROTASIO ALVES;20091106 19:24
AV.EDVALDO PEREIRA PAIVA;20091106 19:40
R.LAURO MULLER;20091106 19:45
AV.ASSIS BRASIL;20091106 19:45
R.AMERICO VESPUCIO;20091106 19:50
AV.JUCA BATISTA;20091106 20:00
AV.PAULO GAMA;20091106 20:10
R.MISSOURI;20091106 20:45
AV.DOS ESTADOS;20091106 21:00
R.MOSTARDEIRO;20091106 21:30
AV.JOSE BONIFACIO;20091106 22:00
R.IRMAO JOSE OTAO;20091106 22:00
AV.GUAIBA;20091106 22:10
AV.PROF OSCAR.PEREIRA;20091106 23:10
AV.JOSE BONIFACIO;20091106 23:20
R.FREDERICO MENTZ;20091106 23:20
R.DONA MARGARIDA;20091106 23:30
ESTR.JOAO PASSUELO;20091107 00:40
R.MARIANTE;20091107 00:45
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091107 01:05
AV.PROF OSCAR.PEREIRA;20091107 01:10
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091107 01:20
R.VASCO DA GAMA;20091107 02:00
AV.FARRAPOS;20091107 03:00
AV.IPIRANGA;20091107 03:05
AV.JOAO PESSOA;20091107 05:20
AV.ASSIS BRASIL;20091107 06:40
AV.PRINCESA ISABEL;20091107 07:20
R.VASCO DA GAMA;20091107 07:20
AV.BORGES DE MEDEIROS;20091107 07:40
AV.JOAO PESSOA;20091107 07:40
AV.PROTASIO ALVES;20091107 07:40
AV.IPIRANGA;20091107 07:45
AV.DR.CARLOS BARBOSA;20091107 08:40
AV.PERNAMBUCO;20091107 09:00
AV.BENTO GONCALVES;20091107 09:40
R.DR.JOAO INACIO;20091107 10:15
AV.CARLOS GOMES;20091107 10:20
AV.JERONIMO DE ORNELAS;20091107 10:30
AV.PORTO ALEGRE;20091107 10:38
AV.EDUARDO PRADO;20091107 10:50
AV.ERICO VERISSIMO;20091107 11:00
AV.ASSIS BRASIL;20091107 11:05
R.DONA AUGUSTA;20091107 11:35
R.DONA LAURA;20091107 11:40
AV.VENANCIO AIRES;20091107 12:00
R.MOSTARDEIRO;20091107 12:00
AV.CARLOS GOMES;20091107 12:05
AV.PROF OSCAR.PEREIRA;20091107 12:10
AV.FARRAPOS;20091107 12:30
R.COMENDADOR.MANOEL PEREIRA;20091107 13:00
R.FRANCISCO PINTO DA FONTOURA;20091107 13:45
AV.OSVALDO ARANHA;20091107 13:50
R.VOLUNTARIOS DA PATRIA;20091107 14:15
AV.ICARAI;20091107 14:20
R.ANTONIO KLINGER.FILHO;20091107 14:40
AV.FARRAPOS;20091107 14:45
AV.IPIRANGA;20091107 14:50
AV.BERNARDINO SILVEIRA PASTORIZA;20091107 15:00
AV.ASSIS BRASIL;20091107 15:10
AV.CRISTOVAO COLOMBO;20091107 15:35
AV.JERONIMO DE ORNELAS;20091107 16:00
AV.IPIRANGA;20091107 16:00
AV.GOETHE;20091107 16:00
R.GEN VASCO ALVES;20091107 16:35
R.JATAI;20091107 17:05
AV.MANOEL ELIAS;20091107 17:05
AV.CRISTOVAO COLOMBO;20091107 17:10
AV.CEL LUCAS DE OLIVEIRA;20091107 17:15
AV.PROTASIO ALVES;20091107 17:25
AV.BERLIM;20091107 17:30
AV.ASSIS BRASIL;20091107 17:45
R.MORRETES;20091107 17:50
R.CASEMIRO DE ABREU;20091107 18:00
AV.MONTREAL;20091107 18:15
AV.SERTORIO;20091107 18:45
AV.ASSIS BRASIL;20091107 18:50
AV.PALMEIRA;20091107 19:30
AV.IPIRANGA;20091107 20:10
AV.DA SERRARIA;20091107 20:20
R.CONDE DA FIGUEIRA;20091107 20:40
AV.PROTASIO ALVES;20091107 20:50
AV.PROTASIO ALVES;20091107 21:10
R.LUIZ VOELCKER;20091107 22:00
AV.JUCA BATISTA;20091107 23:50
R.FELIPE CAMARAO;20091108 00:15
AV.ASSIS BRASIL;20091108 00:20
AV.FARRAPOS;20091108 00:50
AV.A J RENNER;20091108 01:00
AV.TERESOPOLIS;20091108 01:20
R.DONA MARGARIDA;20091108 01:50
AV.EDGAR.PIRES DE CASTRO;20091108 02:00
AV.MARECHAL ANDREA;20091108 02:25
R.JOAO CAETANO;20091108 02:50
AV.IPIRANGA;20091108 06:00
AV.IPIRANGA;20091108 07:00
AV.BRASIL;20091108 07:00
AV.FARRAPOS;20091108 07:28
AV.SERTORIO;20091108 07:28
R.GEN VASCO ALVES;20091108 07:45
R.MOSTARDEIRO;20091108 08:35
R.SALDANHA DA GAMA;20091108 10:00
AV.PROF OSCAR.PEREIRA;20091108 12:00
AV.ALBERTO PASQUALINI;20091108 12:10
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091108 12:30
AV.SERTORIO;20091108 12:45
AV.EDUARDO PRADO;20091108 12:50
AV.IPIRANGA;20091108 13:30
ESTR.JOAO ANTONIO SILVEIRA;20091108 15:00
AV.CAPIVARI;20091108 15:50
AV.ASSIS BRASIL;20091108 16:00
AV.ENG LUDOLFO BOEHL;20091108 16:20
AV.ASSIS BRASIL;20091108 16:25
R.VICENTE DA FONTOURA;20091108 16:40
AV.PROTASIO ALVES;20091108 16:40
AV.MAUA;20091108 16:45
AV.OSVALDO ARANHA;20091108 17:07
R.MARINO BARCELOS;20091108 17:30
AV.VERISSIMO DE AMARAL;20091108 17:50
R.COMENDADOR.RODOLFO GOMES;20091108 18:10
R.DR.CAMPOS VELHO;20091108 19:30
R.DR.CAMPOS VELHO;20091108 20:00
AV.LOUREIRO DA SILVA;20091108 20:20
AV.DA AZENHA;20091108 21:45
AV.A J RENNER;20091108 21:46
AV.FARRAPOS;20091108 23:15
AV.IPIRANGA;20091109 01:10
R.FELIPE CAMARAO;20091109 01:15
R.PROF CRISTIANO FISCHER;20091109 03:15
AV.GOMES DE CARVALHO;20091109 07:30
AV.BORGES DE MEDEIROS;20091109 07:55
R.GRAO PARA;20091109 08:00
AV.MAUA;20091109 08:30
AV.BENTO GONCALVES;20091109 08:33
R.DOM PEDRO II;20091109 09:15
AV.BRASIL;20091109 09:35
AV.JOAO PESSOA;20091109 09:45
AV.ASSIS BRASIL;20091109 10:00
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091109 10:15
AV.MAUA;20091109 11:00
AV.BENTO GONCALVES;20091109 11:20
R.DR.FLORENCIO YGARTUA;20091109 11:20
AV.IPIRANGA;20091109 11:30
AV.EDUARDO PRADO;20091109 11:40
AV.CARLOS GOMES;20091109 11:40
R.DR.BARCELOS;20091109 11:50
R.SETE DE SETEMBRO;20091109 11:50
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091109 12:00
AV.DELEGADO ELY CORREA PRADO;20091109 12:00
AV.JUCA BATISTA;20091109 12:15
AV.MAUA;20091109 12:15
R.MIGUEL TOSTES;20091109 12:15
R.RAMIRO BARCELOS;20091109 12:30
AV.TEIXEIRA MENDES;20091109 12:30
R.ARABUTAN;20091109 12:30
AV.MAUA;20091109 13:15
R.VICENTE DA FONTOURA;20091109 13:45
R.DINARTE RIBEIRO;20091109 13:45
R.GEN ANDRADE NEVES;20091109 13:55
R.DOM PEDRO II;20091109 14:00
R.PADRE ANTONIO VIEIRA;20091109 14:30
AV.TERESOPOLIS;20091109 14:45
R.PROF ANNES DIAS;20091109 15:00
AV.FARRAPOS;20091109 15:00
AV.PROTASIO ALVES;20091109 15:00
AV.PADRE CACIQUE;20091109 15:18
AV.RODRIGUES DA FONSECA;20091109 15:20
R.BOTAFOGO;20091109 15:45
AV.FARRAPOS;20091109 15:45
R.RIACHUELO;20091109 16:05
AV.LAGEADO;20091109 16:20
AV.SAO PEDRO;20091109 16:30
R.FELIPE DE OLIVEIRA;20091109 16:35
R.VICENTE DA FONTOURA;20091109 16:42
R.PADRE JOAO BATISTA REUS;20091109 16:45
AV.DIQUE;20091109 17:05
R.JERUSALEM;20091109 17:07
R.SANTANA;20091109 17:10
AV.FARRAPOS;20091109 17:15
AV.PERNAMBUCO;20091109 17:19
AV.CRISTOVAO COLOMBO;20091109 17:20
AV.DA CAVALHADA;20091109 18:00
AV.EDUARDO PRADO;20091109 18:10
R.DONA EUGENIA;20091109 18:21
AV.PRAIA DE BELAS;20091109 18:30
R.VOLUNTARIOS DA PATRIA;20091109 18:30
R.FREDERICO MENTZ;20091109 18:50
ESTR.JOAO ANTONIO SILVEIRA;20091109 19:10
AV.ASSIS BRASIL;20091109 19:10
AV.NONOAI;20091109 19:20
R.DOM DIOGO DE SOUZA;20091109 19:20
AV.PLINIO BRASIL MILANO;20091109 19:20
AV.IPIRANGA;20091109 19:25
R.ESPIRITO SANTO;20091109 19:30
R.MOSTARDEIRO;20091109 19:30
AV.BERNARDINO SILVEIRA PASTORIZA;20091109 19:40
AV.PROF OSCAR.PEREIRA;20091109 20:00
R.JERONIMO COELHO;20091109 20:30
AV.OSVALDO ARANHA;20091109 21:21
R.MARECHAL MESQUITA;20091109 21:40
R.ANITA GARIBALDI;20091109 22:00
R.PASSO DA PATRIA;20091109 22:35
AV.ERICO VERISSIMO;20091109 22:40
R.DONA MARGARIDA;20091109 23:20
AV.PINHEIRO BORDA;20091110 01:15
AV.SATURNINO DE BRITO;20091110 01:30
AV.BENTO GONCALVES;20091110 06:50
AV.ANTONIO CARVALHO;20091110 07:20
PCA PAULO COELHO;20091110 08:00
AV.INDEPENDENCIA;20091110 08:15
R.DOS ANDRADAS;20091110 08:20
R.GEN JOAO MANOEL;20091110 08:55
R.DUQUE DE CAXIAS;20091110 09:00
R.VICENTE DA FONTOURA;20091110 09:00
AV.BENJAMIN CONSTANT;20091110 09:05
R.BARAO DO CERRO LARGO;20091110 09:20
R.JOSE DE ALENCAR;20091110 09:20
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091110 09:25
R.DR.JOAO INACIO;20091110 09:35
AV.BENTO GONCALVES;20091110 10:12
R.RAMIRO BARCELOS;20091110 10:30
AV.BRASIL;20091110 10:35
R.NOVE DE JUNHO;20091110 11:10
AV.SERTORIO;20091110 11:10
AV.SERTORIO;20091110 11:20
ESTR.JOAO PASSUELO;20091110 11:30
R.FELIPE DE OLIVEIRA;20091110 12:15
AV.ASSIS BRASIL;20091110 12:15
AV.FARRAPOS;20091110 12:20
R.FELIPE DE OLIVEIRA;20091110 12:30
R.CAIRU;20091110 13:00
AV.BENTO GONCALVES;20091110 13:15
R.BARAO DO AMAZONAS;20091110 13:20
AV.SERTORIO;20091110 13:30
R.ELIZIARIO GOULART DA SILVA;20091110 13:34
AV.SERTORIO;20091110 13:40
R.GEN CALDWELL;20091110 14:05
AV.ERICO VERISSIMO;20091110 14:30
AV.MAUA;20091110 14:30
AV.IPIRANGA;20091110 14:40
AV.POLAR;20091110 14:40
AV.DR.NILO PECANHA;20091110 14:45
R.DONA EUGENIA;20091110 15:00
R.FURRIEL LUIZ ANTONIO DE VARGAS;20091110 15:05
AV.ASSIS BRASIL;20091110 15:20
AV.PROTASIO ALVES;20091110 15:30
R.CAIRU;20091110 15:40
AV.CRISTOVAO COLOMBO;20091110 15:45
R.MOSTARDEIRO;20091110 16:20
R.SILVA SO;20091110 16:30
R.BARAO DE SANTO ANGELO;20091110 16:30
AV.ASSIS BRASIL;20091110 16:46
AV.OSVALDO ARANHA;20091110 16:50
R.JOAO MOREIRA MACIEL;20091110 17:00
R.CORCOVADO;20091110 17:20
AV.ASSIS BRASIL;20091110 17:30
R.FERREIRA VIANA;20091110 17:45
R.MARCOS MOREIRA;20091110 18:00
R.FERNANDO ABBOTT;20091110 18:00
R.NOSSA SENHORA DO BRASIL;20091110 18:15
R.JOAO ALFREDO;20091110 19:30
AV.NITEROI;20091110 19:30
AV.VENANCIO AIRES;20091110 19:45
R.SANTOS DUMONT;20091110 21:00
R.GEN RONDON;20091110 21:15
AV.PRAIA DE BELAS;20091110 21:20
R.JOAO DO RIO;20091110 22:30
AV.PRINCESA ISABEL;20091110 23:00
R.BARAO DE UBA;20091110 23:00
R.MARECHAL MESQUITA;20091111 00:30
ESTR.CRISTIANO KRAEMER;20091111 03:30
AV.BERNARDINO SILVEIRA DE AMORIM;20091111 06:00
R.PERI MACHADO;20091111 07:20
R.DR.PEREIRA NETO;20091111 07:48
AV.SENADOR.TARSO DUTRA;20091111 08:10
ESTR.JOAO ANTONIO SILVEIRA;20091111 08:20
R.DOS ANDRADAS;20091111 09:00
R.FREDERICO MENTZ;20091111 09:00
AV.PERNAMBUCO;20091111 09:02
R.VOLUNTARIOS DA PATRIA;20091111 09:10
R.JOSE DE ALENCAR;20091111 09:15
AV.GOETHE;20091111 09:20
R.MARIANTE;20091111 09:50
AV.INDEPENDENCIA;20091111 10:00
AV.FARRAPOS;20091111 10:00
AV.NILOPOLIS;20091111 10:00
AV.DA AZENHA;20091111 10:05
R.VOLUNTARIOS DA PATRIA;20091111 10:15
R.FRANCISCO DA SILVEIRA PASTORIZA;20091111 11:00
R.BARAO DO AMAZONAS;20091111 11:00
R.BARAO DO AMAZONAS;20091111 11:00
R.DONA SEBASTIANA;20091111 11:00
R.DR.ARMANDO BARBEDO;20091111 11:15
AV.BENTO GONCALVES;20091111 11:40
AV.ICARAI;20091111 12:10
AV.PROTASIO ALVES;20091111 12:30
AV.ASSIS BRASIL;20091111 12:30
AV.ANTONIO CARVALHO;20091111 13:20
R.GEN LIMA E SILVA;20091111 14:00
AV.TAQUARA;20091111 14:00
R.RIACHUELO;20091111 14:15
R.COSTA;20091111 14:20
R.ENG ALVARO NUNES PEREIRA;20091111 14:30
R.DONA MARGARIDA;20091111 14:30
AV.DO FORTE;20091111 14:35
LG VISCONDE DO CAIRU;20091111 14:40
AV.POLONIA;20091111 15:00
AV.BRASIL;20091111 15:00
R.JOSE DE ALENCAR;20091111 15:12
LG VESPASIANO JULIO VEPPO;20091111 15:20
AV.MARTIM FELIX BERTA;20091111 15:20
AV.MARTINS BASTOS;20091111 15:30
R.VISCONDE DO HERVAL;20091111 15:37
AV.DR.NILO PECANHA;20091111 16:30
R.DOM PEDRO II;20091111 16:30
AV.ASSIS BRASIL;20091111 16:45
R.PEDRO BOTICARIO;20091111 16:46
R.SIQUEIRA CAMPOS;20091111 16:50
ESTR.JOAO ANTONIO SILVEIRA;20091111 17:10
AV.PRINCESA ISABEL;20091111 17:15
AV.CEARA;20091111 17:30
AV.SERTORIO;20091111 17:34
R.SIQUEIRA CAMPOS;20091111 17:35
R.DR.RAUL MOREIRA;20091111 17:45
AV.SERTORIO;20091111 17:48
AV.OSVALDO ARANHA;20091111 18:05
AV.PERNAMBUCO;20091111 18:10
AV.CRISTOVAO COLOMBO;20091111 18:12
R.AMELIA TELES;20091111 18:30
R.ANITA GARIBALDI;20091111 18:30
AV.IPIRANGA;20091111 18:43
ESTR.JOAO ANTONIO SILVEIRA;20091111 18:45
R.DR.MURTINHO;20091111 18:50
AV.BALTAZAR.DE OLIVEIRA GARCIA;20091111 19:00
AV.BENTO GONCALVES;20091111 19:05
R.CORREA LIMA;20091111 19:15
AV.SOLEDADE;20091111 19:20
AV.PROTASIO ALVES;20091111 19:20
R.DA CONCEICAO;20091111 19:40
AV.DR.NILO PECANHA;20091111 20:00
R.DR.MURTINHO;20091111 20:00
AV.MONTE CRISTO;20091111 20:13
R.GARIBALDI;20091111 20:16
ESTR.RETIRO DA PONTA GROSSA;20091111 21:00
AV.SERTORIO;20091111 21:53
R.BARAO DO COTEGIPE;20091111 23:00
AV.ALCIDES MAIA;20091111 23:30
AV.IPIRANGA;20091111 23:40
AV.IPIRANGA;20091112 02:50
R.DONA MARGARIDA;20091112 07:00
AV.IPIRANGA;20091112 07:20
R.DONA MARGARIDA;20091112 07:28
AV.PROF OSCAR.PEREIRA;20091112 08:07
R.ACORES;20091112 08:20
AV.PLINIO BRASIL MILANO;20091112 08:50
R.JOAQUIM NABUCO;20091112 09:00
R.SOUZA REIS;20091112 09:10
AV.PROF OSCAR.PEREIRA;20091112 10:15
R.RAMIRO BARCELOS;20091112 10:15
R.CABRAL;20091112 10:30
AV.MAUA;20091112 11:25
R.ALVARO CHAVES;20091112 11:25
AV.IPIRANGA;20091112 11:45
AV.PLINIO BRASIL MILANO;20091112 12:15
AV.CARLOS GOMES;20091112 12:20
R.CARVALHO MONTEIRO;20091112 12:45
R.GEN LIMA E SILVA;20091112 12:58
R.MARQUES DO POMBAL;20091112 13:00
ESTR.CHACARA DO BANCO;20091112 13:10
R.SAO MANOEL;20091112 13:15
R.RAMIRO BARCELOS;20091112 13:15
AV.IPIRANGA;20091112 13:30
R.ANDARAI;20091112 13:40
R.JOAO GUIMARAES;20091112 14:05
AV.IPIRANGA;20091112 14:09
R.TEN ARY TARRAGO;20091112 14:20
R.COMENDADOR.MANOEL PEREIRA;20091112 14:30
AV.CRISTOVAO COLOMBO;20091112 14:30
AV.PROTASIO ALVES;20091112 15:00
R.DONA LAURA;20091112 15:00
AV.ITAQUI;20091112 15:05
AV.JOAO PESSOA;20091112 15:15
R.JOSE DO PATROCINIO;20091112 15:30
AV.SERTORIO;20091112 15:30
R.DO PRESIDIO;20091112 15:45
R.ANITA GARIBALDI;20091112 15:45
AV.TERESOPOLIS;20091112 15:50
AV.SERTORIO;20091112 15:55
AV.IPIRANGA;20091112 16:00
AV.VIENA;20091112 16:10
AV.OTTO NIEMEYER;20091112 16:15
R.SILVA SO;20091112 16:20
AV.FRANCISCO SILVEIRA BITENCOURT;20091112 16:20
AV.AURELIANO DE FIGUEIREDO PINTO;20091112 16:30
ESTR.DO VAREJAO;20091112 16:30
AV.DA AZENHA;20091112 16:45
AV.FARRAPOS;20091112 17:00
AV.ASSIS BRASIL;20091112 17:00
AV.ASSIS BRASIL;20091112 17:10
AV.IPIRANGA;20091112 17:20
AV.BENNO MENTZ;20091112 17:20
AV.PROTASIO ALVES;20091112 17:30
AV.PROTASIO ALVES;20091112 17:30
AV.SERTORIO;20091112 17:35
R.HONORIO SILVEIRA DIAS;20091112 18:00
R.TUPINAMBA;20091112 18:00
AV.DA CAVALHADA;20091112 18:15
R.MARCIO L VERAS VIDOR;20091112 18:20
R.SANTANA;20091112 18:25
AV.BERNARDINO SILVEIRA DE AMORIM;20091112 18:25
R.LUIZ DE CAMOES;20091112 18:30
R.SIQUEIRA CAMPOS;20091112 18:50
AV.NILOPOLIS;20091112 19:00
AV.IPIRANGA;20091112 19:00
AV.PRINCESA ISABEL;20091112 19:12
R.PEDRO IVO;20091112 19:30
