LOG1;DATA_HORA
AV.BASTIAN;20090105 17:10
AV.IPIRANGA;20090105 17:17
AV.PERNAMBUCO;20090105 17:30
R.UMBU;20090105 17:45
R.PAULINO AZURENHA;20090105 18:00
AV.FARRAPOS;20090105 18:00
AV.BENTO GONCALVES;20090105 18:15
AV.BENTO GONCALVES;20090105 18:35
AV.ASSIS BRASIL;20090105 19:04
AV.EDVALDO PEREIRA PAIVA;20090105 19:15
ESTR.RETIRO DA PONTA GROSSA;20090105 19:23
AV.SERTORIO;20090105 19:30
AV.EDGAR.PIRES DE CASTRO;20090105 19:39
AV.PRESIDENTE FRANKLIN ROOSEVELT;20090105 19:52
AV.NITEROI;20090105 20:27
AV.BENTO GONCALVES;20090105 20:35
AV.IPIRANGA;20090105 21:45
R.TARSO GALVAO BUENO FILHO;20090105 22:30
AV.TERESOPOLIS;20090106 00:15
AV.ASSIS BRASIL;20090106 00:15
AV.VENANCIO AIRES;20090106 01:20
R.FREDERICO MENTZ;20090106 01:50
R.VOLUNTARIOS DA PATRIA;20090106 02:00
R.CORREA LIMA;20090106 07:10
R.DONA ZAIDA;20090106 07:20
AV.SERTORIO;20090106 07:28
AV.DA CAVALHADA;20090106 07:40
AV.DOS GAUCHOS;20090106 08:15
R.ARARAS;20090106 08:15
AV.SERTORIO;20090106 08:38
R.GARIBALDI;20090106 08:44
AV.MAUA;20090106 08:45
AV.ASSIS BRASIL;20090106 08:47
AV.ASSIS BRASIL;20090106 08:50
R.MOSTARDEIRO;20090106 09:20
R.MOSTARDEIRO;20090106 09:55
R.VINTE QUATRO DE OUTUBRO;20090106 10:00
R.BARAO DE SANTO ANGELO;20090106 10:00
PCA DOM PEDRO;20090106 10:12
ESTR.JORGE PEREIRA NUNES;20090106 10:30
AV.PADRE CACIQUE;20090106 11:10
AV.PROTASIO ALVES;20090106 11:15
R.CALDAS JUNIOR;20090106 11:30
AV.DA CAVALHADA;20090106 11:40
AV.OTTO NIEMEYER;20090106 11:55
R.MARQUES DO POMBAL;20090106 11:55
R.BARAO DO GRAVATAI;20090106 12:00
AV.OSVALDO ARANHA;20090106 12:05
R.JOSE DE ALENCAR;20090106 12:31
AV.BORGES DE MEDEIROS;20090106 13:20
R.DONA EUGENIA;20090106 13:30
AV.BORGES DE MEDEIROS;20090106 13:55
AV.JUCA BATISTA;20090106 14:05
AV.IPIRANGA;20090106 14:15
